Título,Data,URL,Conteudo
PSB oficializa Duarte Jr. como pré-candidato a prefeito de São Luís para as eleições de 2024,30 de outubro de 2023,https://psb40.org.br/psb-oficializa-duarte-jr-como-pre-candidato-a-prefeito-de-sao-luis-para-as-eleicoes-de-2024/,"O PSB de São Luís lançou o nome do deputado federal Duarte Júnior como pré-candidato a prefeito da capital maranhense para as eleições de 2024, durante Conferência Municipal na noite da última sexta-feira (27).O ato contou com a presença de várias lideranças, entre elas o ministro de Empreendorismo, Micro e Pequena Empresa, Márcio França (PSB), os deputados federais Pedro Campos (PSB-PE) e Gervásio Maia (PSB-PB), o deputado estadual Carlos Lula (PSB). No evento, foram mostradas mensagens enviadas via vídeo do presidente nacional do partido, Carlos Siqueira, do vice-presidente da República, Geraldo Alckmin, dos deputados federais Tabata Amaral (PSB-SP) e Felipe Carreras (PSB-PE), do prefeito de Recife João Campos (PSB-PE), e da senadora Ana Paula Lobato (PSB-MA).Também estiveram presentes lideranças de outros partidos, vereadores, militantes e apoiadores lotaram o auditório Fernando Falcão, na Assembleia Legislativa do Maranhão.O presidente nacional do PSB, Carlos Siqueira, destacou que o ato político é de suma importância e reforçou o apoio pessoal e da direção nacional do partido pela oficialização de Duarte como pré-candidato.“O PSB-MA e de São Luís, bem como a sua pessoa podem contar com o mais irrestrito apoio da direção nacional. Isto se deve ao fato de sua pré-candidatura à prefeitura de São Luís inserir-se, na visão da direção nacional, entre as mais importantes e prioritárias nas eleições municipais de 2024”, afirmou.Em seu discurso, Duarte agradeceu todo apoio recebido e afirmou que está mais experiente “para mudar a realidade dessa cidade representando nosso campo político”.“Teremos todos esse time que vai buscar, com todo o seu esforço, o poder de resolver os problemas da cidade. Peço uma chance para que nós possamos fazer diferente”, disse.Representando o presidente nacional do PSB, Carlos Siqueira, o ministro Márcio França destacou que Duarte é uma das prioridades nacionais do partido.“Vim dizer, pessoalmente, em nome do presidente Carlos Siqueira, que estou convicto de que você está preparado. Nosso time tá com o Alckmin, o Lula, o Flávio Dino, o Brandão e todo mundo que tá aqui”, pontuou.O presidente do PSB do Maranhão e secretário Estadual de Agricultura Familiar, Bira do Pindaré (PSB), ressaltou que o partido consagrou a sua unidade interna em torno da pré-candidatura de Duarte. Ele lembrou do gesto do deputado estadual Carlos Lula (PSB), que retirou a pré-candidatura para apoiar o deputado federal.“A nossa unidade, aqui hoje, é simbolizada pela presença de diversas lideranças do Maranhão e também do Brasil”, enfatizou.Ao comentar, o deputado estadual Carlos Lula afirmou que seu gesto de retirada de candidatura foi em prol do partido na construção de uma força para as eleições. “Eu sempre afirmei e reafirmo que eu entendia a política como um espaço de construção coletiva, e assim também entendia o meu partido. Reafirmava que a política não podia ser espaço para aventuras pessoais, muito menos para movimentos individuais, que ou a gente caminhava com projetos coletivos, ou o caminho era naufragar todos”, declarou.O secretário executivo do Ministério da Justiça, Ricardo Cappelli (PSB), defendeu uma frente ampla em torno da candidatura de Duarte, igual ou maior do que as que foram criadas nas vitoriosas eleições de Flávio Dino e Carlos Brandão, ambos do PSB. Assessoria de Comunicação/PSB Nacional com informações d’O Imparcial"
Ministro Márcio França debate expansão nacional de políticas públicas na área de empreendedorismo em visita ao Recife,27 de outubro de 2023,https://psb40.org.br/ministro-marcio-franca-debate-expansao-nacional-de-politicas-publicas-na-area-de-empreendedorismo-em-visita-ao-recife/,"O ministro do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte (MEMP), Márcio França (PSB), realizou agendas na cidade do Recife, em Pernambuco, nesta quinta-feira (26).Na ocasião, ele visitou a sede do Porto Digital e do Sebrae-PE, além de debater a expansão nacional de políticas públicas na área de empreendedorismo, tecnologia e inclusão.Em sua fala, França ressaltou a importância de criar políticas públicas de Estado para a área que fortaleçam o empreendedorismo no Brasil.“A economia brasileira passa pelos micro, pequenos e médios empreendedores. Precisamos compreender as particularidades e a vocação de cada região para fazer esse setor crescer de forma significativa”, afirmou.“Vamos elaborar políticas públicas e linhas de crédito para fomentar o empreendedorismo no nosso país. Foi isso que o presidente Lula nos pediu”, pontuou.Na sequência, o ministro visitou o Porto Digital, parque tecnológico que reúne cerca de 350 empresas, com 17 mil colaboradores e organizações que fomentam o empreendedorismo.“Esse é um modelo que deu certo no Recife e que devemos replicar em muitas cidades brasileiras. É uma forma de unir o poder público, a iniciativa privada e a sociedade civil para incentivar novos negócios e transformar a realidade de uma região”, disse.O deputado federal Pedro Campos participou da visita e afirmou que é preciso olhar estrategicamente para os centros urbanos no país. “Estamos trabalhando na Câmara para criar uma uma Lei Complementar, alinhada à Reforma Tributária, que regulamente iniciativas como a do Porto Digital. É preciso criar uma alternativa para revitalização de outros centros urbanos do país”, disse.“O Embarque Digital, programa da prefeitura do Recife embarcado no Porto Digital, é um bom exemplo do potencial que a periferia tem para gerar soluções dentro de suas vivências, atrelando empreendedorismo e inovação. Precisamos expandir para o Brasil iniciativas exitosas como estas”, concluiu Campos.Assessoria de Comunicação/PSB Nacional com informações do MDIC e Blog Cenário"
"Pela 8ª vez na Câmara, Dino afirma que governo Lula supera o anterior em segurança pública",26 de outubro de 2023,https://psb40.org.br/pela-8a-vez-na-camara-dino-afirma-que-governo-lula-supera-a-gestao-anterior-em-seguranca-publica/,"O ministro da Justiça e Segurança Pública, Flávio Dino, disse em debate na Câmara dos Deputados, nesta quarta-feira (25), que o desempenho do governo Lula na segurança pública supera 2022. Ele apresentou, durante audiência pública na Comissão de Fiscalização Financeira e Controle da Câmara, os resultados preliminares da atual gestão e comparou com números do governo anterior.Segundo o ministro, a Polícia Federal já apreendeu R$ 2,29 bilhões de reais do narcotráfico, ante os R$ 216 milhões confiscados em 2022, uma alta de 960% em relação ao ano passado. O total de armas apreendidas chega a 3.871, contra 2.031 em 2022, alta de 91%.“Isso é tirar arma de quem? Das facções, isso é combater facções. Combater facção não é bravatear em público, e confraternizar com miliciano em condomínio ou em casa. Combater milícia, combater facção, fazer segurança pública é ter resultado para mostrar”, afirmou.Quanto ao orçamento, os recursos reservados pelo governo Lula para a segurança pública também são superiores. Em 2022, o governo Jair Bolsonaro destinou cerca de R$ 4,391 bilhões para custeio das ações federais na área. Em 2023, este orçamento é de R$ 5,170 bi.“E a proposta orçamentária que elaboramos [para o próximo ano] é exatamente neste valor. Ou seja, não há redução. Pelo contrário. Há um incremento de 17% nos recursos da segurança pública”, respondeu.Na Polícia Rodoviária Federal, o orçamento, em 2022, era de R$ 855 milhões. Este ano, passou para R$ 937 milhões, mesmo valor previsto para o próximo ano. Na PF, era de R$ 1,320 bi e, este ano, é de R$ 1,609 bi, detalhou Dino.O ministro lembrou que os parlamentares podem apresentar emendas ao Orçamento da União com o objetivo de aumentar os recursos destinados à segurança. “Inclusive, espero que, quando houver [a apresentação das] emendas parlamentares – e já que esta Casa tem revelado tanto preocupação com a segurança pública, ao ponto de eu ter dezenas de requerimentos [de convite e convocação para participar de audiências públicas] – desejo e peço que façam emendas ao Orçamento que nos permitam até ampliar esta proposta orçamentária”, completou.ImagensNa audiência, o ministro também falou sobre a entrega do conjunto de imagens que as câmaras de segurança instaladas no Ministério da Justiça registraram no dia 8 de janeiro, quando vândalos e golpistas invadiram e depredaram o Palácio do Planalto, o Congresso Nacional e a sede do Supremo Tribunal Federal (STF), em Brasília.“Este assunto já foi exaustivamente debatido na CPMI [Comissão Parlamentar Mista de Inquérito] do 8 de Janeiro e no âmbito do Poder Judiciário, já que alguns parlamentares entraram com mandado de segurança no Superior Tribunal de Justiça [STJ], que negou [o pedido] liminar, ou seja, o Poder Judiciário confirmou nosso procedimento”, comentou Dino.De acordo com Dino, peritos da Polícia Federal analisaram as imagens registradas dentro e fora do ministério e recolheram todo o material considerado relevante para o inquérito policial. “Quem fez este juízo [de importância] não foi o ministro ou um funcionário do ministério. Foi um delegado da PF, independente e cujo nome eu nem sequer sei.”Ainda segundo o ministro, ao ser demandada pela CPMI para fornecer as imagens, a pasta teve que solicitar autorização ao ministro do STF Alexandre de Moraes, relator do inquérito ao qual as imagens foram acrescidas como provas. Moraes autorizou o ministério a compartilhar integralmente as imagens com a CPMI no início de agosto.“O delegado [da PF] que preside o inquérito entregou todas as imagens à CPMI, onde elas se encontram até hoje. Menos, obviamente, as das câmeras que não foram acionadas e aquelas que a PF considerou descartáveis”, informou Dino, afirmando que a CPMI está de posse de centenas de horas de imagens gravadas pelo sistema de segurança ministerial.Com informações das agências Brasil e Câmara"
Alckmin: Reforma tributária vai reduzir custo Brasil e aumentar competitividade da indústria,1 de novembro de 2023,https://psb40.org.br/alckmin-reforma-tributaria-vai-reduzir-custo-brasil-e-aumentar-competitividade-da-industria/,"O vice-presidente Geraldo Alckmin (PSB) afirmou que a reforma tributária será essencial para o desenvolvimento da indústria brasileira, em discurso durante evento da Confederação Nacional das Indústrias (CNI), na noite desta terça-feira (31).Ele avaliou o setor como “supertributado” e disse que a reforma “vai desonerar completamente o investimento e a exportação porque ela acaba com a cumulatividade”. “Muito mais que incentivos, queremos condições para competir e entregar ao Brasil o que só a indústria pode entregar: mais empregos de alta qualidade, inovação e inserção nas cadeias globais de produção”, declarou.Durante o evento, o vice-presidente destacou que a reforma tributária “faz o PIB crescer e traz eficiência econômica” e que “os estudos mostram que ela pode em 15 anos elevar 12% o PIB, reduzindo o Custo Brasil e melhorando a competitividade”.A reforma está sob a análise do Senado e o relator na Casa, Eduardo Braga (MDB-AM), apresentou um parecer com mudanças ao texto aprovado pelos deputados, o que deve fazer com que a Câmara volte a analisar o texto.Geraldo Alckmin, que também é ministro da Indústria, Comérico e Serviços (MDIC), ainda declarou que o Executivo tem feito esforços com o Congresso para desburocratizar e impulsinar a chamada economia verde. Ele disse que o objetivo é transformar o Brasil em líder mundial de desenvolvimento sustentável.Na cerimônia, Alckmin, disse que o o presidente Luiz Inácio Lula da Silva (PT) deve assinar, hoje, o decreto que recria o Regime Especial da Indústria Química (Reiq) — que é a regulamentação da isenção de 2,19% no Pis/Cofins sobre a compra de matérias-primas básicas petroquímicas de primeira e segunda geração.Taxa de jurosSobre a nova taxa básica de juros, que deve ser anunciada pelo Comitê de Política Monetária (Copom) nesta quarta-feira (1), o vice-presidente da República disse esperar uma queda mais acelerada do índice. “Os juros estão caindo. Amanhã esperamos que caiam mais ainda. E precisa cair mais depressa. O câmbio está competitivo, é um câmbio que ajuda”.Com informações dos jornais Correio Braziliense e O Globo"
Dino anuncia criação de nova equipe que atuará em área de inteligência do Rio,1 de novembro de 2023,https://psb40.org.br/dino-anuncia-criacao-de-nova-equipe-que-atuara-em-area-de-inteligencia-do-rio/,"O ministro da Justiça, Flávio Dino (PSB), anunciou nesta terça-feira (31) que o governo federal e o governo do Rio de Janeiro vão criar um comitê para atuar especificamente na “asfixia financeira e logística” do narcotráfico e das milícias no Estado.A medida faz parte de uma série de ações focadas no Estado, que passa por uma crise de segurança. As Forças Armadas, segundo o ministro, também apresentaram um plano focado na atuação em portos, aeroportos e nas fronteiras, sem atuação ostensiva nas ruas como a Força Nacional, que chegou ao estado no último dia 15.“Fizemos ontem uma reunião e decidimos constituir essa equipe mista, chamada Cifra, Comitê de Inteligência Financeira e Recuperação de Ativos. Irei na próxima semana para assinar acordo de cooperação técnica que vai normatizar o funcionamento desse comitê”, afirmou Dino.A expectativa é que o comitê funcione com a atuação conjunta de agentes da Polícia Federal e da Secretária Nacional de Segurança Pública, mas focada exclusivamente em questões de inteligência financeira.Dino também explicou que a diferença desse plano em relação a outras ações já realizadas pelo Ministério da Justiça nos últimos anos é o seu foco territorial no Rio de Janeiro. O ministro destacou que, no caso do Rio de Janeiro, existe uma institucionalização de fontes de recursos para o narcotráfico por meio de diversas formas de lavagem de dinheiro.“No caso do Rio, isso é fundamental para combater as narcomilícias, uma vez que há fontes de financiamento institucionalizadas, como distribuição de gás, postos de gasolina, provedores de internet ilegais e assim sucessivamente. Será institucionalizado na próxima semana, possivelmente dia 8. E haverá operações conjuntas nesse sentido”, explicou o Ministro.Com informações do Jornal Extra."
Alckmin: Reforma tributária vai reduzir custo Brasil e aumentar competitividade da indústria,1 de novembro de 2023,https://psb40.org.br/alckmin-reforma-tributaria-vai-reduzir-custo-brasil-e-aumentar-competitividade-da-industria-2/,"O vice-presidente Geraldo Alckmin (PSB) afirmou que a reforma tributária será essencial para o desenvolvimento da indústria brasileira, em discurso durante evento da Confederação Nacional das Indústrias (CNI), na noite desta terça-feira (31).Ele avaliou o setor como “supertributado” e disse que a reforma “vai desonerar completamente o investimento e a exportação porque ela acaba com a cumulatividade”. “Muito mais que incentivos, queremos condições para competir e entregar ao Brasil o que só a indústria pode entregar: mais empregos de alta qualidade, inovação e inserção nas cadeias globais de produção”, declarou.Durante o evento, o vice-presidente destacou que a reforma tributária “faz o PIB crescer e traz eficiência econômica” e que “os estudos mostram que ela pode em 15 anos elevar 12% o PIB, reduzindo o Custo Brasil e melhorando a competitividade”.A reforma está sob a análise do Senado e o relator na Casa, Eduardo Braga (MDB-AM), apresentou um parecer com mudanças ao texto aprovado pelos deputados, o que deve fazer com que a Câmara volte a analisar o texto.Geraldo Alckmin, que também é ministro da Indústria, Comérico e Serviços (MDIC), ainda declarou que o Executivo tem feito esforços com o Congresso para desburocratizar e impulsinar a chamada economia verde. Ele disse que o objetivo é transformar o Brasil em líder mundial de desenvolvimento sustentável.Na cerimônia, Alckmin, disse que o o presidente Luiz Inácio Lula da Silva (PT) deve assinar, hoje, o decreto que recria o Regime Especial da Indústria Química (Reiq) — que é a regulamentação da isenção de 2,19% no Pis/Cofins sobre a compra de matérias-primas básicas petroquímicas de primeira e segunda geração.Taxa de jurosSobre a nova taxa básica de juros, que deve ser anunciada pelo Comitê de Política Monetária (Copom) nesta quarta-feira (1), o vice-presidente da República disse esperar uma queda mais acelerada do índice. “Os juros estão caindo. Amanhã esperamos que caiam mais ainda. E precisa cair mais depressa. O câmbio está competitivo, é um câmbio que ajuda”.Com informações dos jornais Correio Braziliense e O Globo"
Tabata Amaral pede que governo de São Paulo conceda passe livre nos dias do Enem,31 de outubro de 2023,https://psb40.org.br/tabata-amaral-pede-que-governo-de-sao-paulo-conceda-passe-livre-em-sp-nos-dias-do-enem/,"A deputada federal Tabata Amaral (PSB-SP) enviou um ofício ao governador de São Paulo, Tarcísio de Freitas (Republicanos), solicitando que o Estado conceda passe livre no transporte público nos dias de realização do Exame Nacional do Ensino Médio (Enem), em 5 e 12 de dezembro.No documento, a parlamentar afirma que a medida é necessária para reduzir a abstenção, que bateu recorde nos últimos dois anos. Ela pede que o governo paulista libere as catracas de transportes intermunicipais e do metrô e que amplie a oferta de ônibus nos domingos em que serão realizados o exame.Segundo a deputada, muitos inscritos relataram dificuldades de locomoção entre os locais de moradia e do exame e dificuldade financeira, por exemplo. “Nos últimos dois anos tivemos recorde de abstenção no Enem. Não podemos repetir isso neste ano. O passe livre vem como incentivo para que nossos estudantes, em especial aqueles que moram na periferia, prestem a prova e possam ter acesso às oportunidades que ela oferece”, explica a deputada.Em 2022, a deputada fez a mesma solicitação pelo passe livre para o Enem, mas seu pedido não foi atendido.Locais de provasDe acordo com reportagem da Folha de São Paulo, milhares de estudantes em diversas regiões reclamam que foram alocados para realizar as provas do Enem em locais muito distantes de suas residências, o que rendeu diversas críticas ao Instituto Nacional de Estudos e Pesquisas Educacionais (Inep).Deputados da Bancada da Educação acionaram o Ministério da Educação e o Inep para cobrar informações sobre as medidas tomadas a respeito dos endereços.Os critérios fixados pelo MEC limitam a distância entre o local de exame e a moradia do estudante a 30 quilômetros, mas há relatos sobre trajetos a superarem os 50 quilômetros.O requerimento de informações, assinado por Tabata e por outros nove deputados da bancada, exige detalhes sobre a dimensão do problema e as ações do MEC e do Inep.Os parlamentares também protocolaram um projeto de lei a estabelecer que a definição de locais de prova e alocação dos estudantes “deverá considerar as especificidades regionais e de grupos vulneráveis, em especial dos candidatos pretos, pardos, com deficiência, mães, quilombolas e indígenas”.Os deputados propõem que, em caso de impossibilidade de oferta de locais de prova em distância e acesso razoáveis, o governo deve formular um plano para disponibilizar transporte aos estudantes, com veículos de transporte escolar ou passe estudantil.Com informações da Folha de São Paulo e da Carta Capital"
Governo do Maranhão anuncia reajuste de 11% e benefícios a servidores,30 de outubro de 2023,https://psb40.org.br/governo-do-maranhao-anuncia-reajuste-de-11-e-beneficios-a-servidores/,"Em comemoração pelo Dia do Servidor Público, o governador do Maranhão Carlos Brandão (PSB) anunciou um pacote de benefícios para os servidores estaduais, incluindo um reajuste salarial gradativo de 11% para servidores efetivos, tanto ativos como inativos. O anúncio foi feito no último sábado (28), e inclui também progressões, promoções e auxílios, dentre outros.O governador explicou que a concessão de aumento é um ato que busca valorizar e garantir a satisfação do funcionário público. A iniciativa também contribui para atrair e reter os talentos mais qualificados, além de promover mais estabilidade do setor público e proporcionar outros efeitos positivos como a movimentação da economia.“Seguimos trabalhando para garantir mais valorização aos servidores, que são peças fundamentais na missão de cuidar do Maranhão. É nossa forma de agradecer e reafirmar nosso compromisso com cada uma e cada um que colabora com as ações e políticas do nosso governo”, destacou o governador.Além do projeto de lei enviado à Assembleia Legislativa do Estado, o Governo também está implementando todas as promoções, progressões, adicionais e titulações, garantindo auxílios que estavam suspensos, como o auxílio natalidade e funeral.Segurança PúblicaO Governo do Maranhão também irá corrigir a defasagem sofrida nos últimos anos pela Polícia Civil. Por isso, peritos, investigadores, escrivães e auxiliares da Polícia Civil terão reajuste maior para posicioná-los em nível nacional.EducaçãoOs professores da Universidade Estadual do Maranhão (Uema) e da Universidade Estadual do Sul do Maranhão (Uemasul) também receberão novos benefícios. O governador aprovou o aumento no percentual da gratificação de titulação: de 25% para 30%, para especialistas; de 35% para 40%, para mestres; e de 50% para 60% para doutores.No caso dos professores ativos e inativos do ensino médio, que são regidos pelo piso nacional do magistério, e aposentados, o governo estadual destaca que estes já receberam 11% de reajuste.A previsão é de que os valores reajustados estejam disponíveis aos servidores a partir de janeiro, de maneira escalonada."
Sileno Guedes propõe PEC que garante recursos para a assistência social em PE,31 de outubro de 2023,https://psb40.org.br/sileno-guedes-propoe-pec-para-garantir-recursos-para-a-assistencia-social-em-pernambuco/,"O deputado estadual por Pernambuco, Sileno Guedes (PSB), anunciou que irá apresentar uma Proposta de Emenda à Constituição (PEC) para assegurar uma fonte de financiamento para a assistência social em Pernambuco. O texto, em fase de elaboração, determina que, anualmente, o Estado aplicará “nunca menos de 1,5% da receita corrente líquida do respectivo exercício financeiro” no financiamento do Sistema Único de Assistência Social (SUAS).O deputado fez o anúncio durante o 23º Encontro do Colegiado Nacional de Gestoras e Gestores Municipais de Assistência Social (Congemas), na última semana, no Centro de Convenções, em Olinda.A proposta atualiza as finalidades da assistência social para garantir a proteção social voltada “à família, à maternidade, à infância, à adolescência e à pessoa idosa”, à “integração na vida comunitária da pessoa com deficiência”, “à redução da vulnerabilidade socioeconômica de famílias em situação de pobreza ou de extrema pobreza”, entre outros.“A gente não pode falar de política pública sem orçamento. A gente não pode ficar à mercê do gestor de plantão para saber se vai ter recurso para o SUAS”, defendeu Sileno Guedes, que é coordenador da Frente Popular em Defesa do Suas na Assembleia Legislativa (Alepe).“Por isso que, aqui em Pernambuco, a exemplo do que está proposto pela PEC 383/2017, do amigo Danilo Cabral, em relação aos recursos da União, estamos propondo a PEC mínima estadual para garantir recursos para a assistência social”, disse Sileno.O deputado também defendeu que políticas sociais importantes implementadas nos governos do PSB no Estado, como o 13º do Bolsa Família e o cofinanciamento de cozinhas comunitárias, tenham continuidade e possam ser aprimoradas pela atual gestão estadual como exemplo prático da reconstrução e do fortalecimento do SUAS.
Durante o período em que foi secretário de Desenvolvimento Social, Criança e Juventude de Pernambuco, Sileno esteve à frente dessas ações, que foram fundamentais para combater a fome e a pobreza.“Pernambuco sempre foi um foco de resistência. Realizamos todas as conferências, garantimos o funcionamento do Suas, garantimos o acréscimo de valores do cofinanciamento, implantamos um grande programa de segurança alimentar, através dos programas de cozinhas comunitárias, inclusive com o propósito de assegurar a sua universalização em todos os municípios do estado. Pernambuco garantiu, naquela ocasião, o maior programa de transferência de renda, que é o Bolsa Família que foi implantado a partir de 2020”, destacou.Com informações do Blog do Elielson"
Recife lidera geração de empregos no Nordeste,31 de outubro de 2023,https://psb40.org.br/recife-lidera-geracao-de-empregos-no-nordeste/,"Recife liderou o ranking de geração de empregos com carteira assinada no Nordeste em setembro, segundo dados do Cadastro Geral de Empregos e Desempregos (Caged). A capital pernambucana registrou um saldo positivo de 4.378 empregos formais, representando o melhor desempenho do ano e superando em mais de 75% o recorde anterior, que era de 2.497 empregos gerados em agosto. No acumulado de 2023, Recife criou 14.848 novas vagas de emprego. Desde o início da gestão João Campos, em janeiro de 2021, a capital pernambucana gerou 71.075 empregos com carteira assinada.Os setores de Serviços (2.654) e Comércio (1.131) foram os principais contribuintes para esse resultado positivo, totalizando 3.785 novas vagas, com destaque para contratações de vendedores em lojas e mercados. Isso representa mais de 85% dos empregos gerados na cidade em setembro, indicando a abertura de novos empreendimentos, incluindo redes de supermercados, e a contratação de trabalhadores temporários para atender à demanda das vendas de fim de ano. Outros três setores também apresentaram saldos positivos: Indústria (323), Construção (206) e Agropecuária (64)."
Governador Carlos Brandão lança programa para impulsionar formação de jovens em tecnologia no Maranhão,31 de outubro de 2023,https://psb40.org.br/governador-carlos-brandao-lanca-programa-para-impulsionar-formacao-de-jovens-em-tecnologia-no-maranhao/,"O governador do Maranhão, Carlos Brandão, lançou o Jovem Tech, programa de formação que vai preparar jovens para o mercado de tecnologia. A iniciativa contempla, em um primeiro momento, 240 bolsas de R$ 1,5 mil para jovens cursarem linguagens de programação nos próximos dois anos. Os alunos, maiores de 18 anos, devem ter concluído o ensino médio entre 2019 e 2023 em escolas públicas.Para o governador Carlos Brandão, o programa representa uma iniciativa promissora para suprir a crescente demanda por profissionais de tecnologia no Maranhão, ao mesmo tempo em que oferece aos jovens mais oportunidades de ingresso no mercado de trabalho. O programa tem parceria com o Grupo Mateus, o Porto do Itaqui e a Fundação de Amparo à Pesquisa do Estado do Maranhão (Fapema).“Hoje é uma data histórica para a formação profissional. A partir do Jovem Tech, por meio do Porto do Itaqui, o Governo do Maranhão está garantindo bolsas no valor de R$ 1,5 mil. Nós vamos preparar jovens para o mercado, em especial, nestas áreas de tecnologia, inovação e programação, cuja demanda é grande, mas a mão de obra está escassa”, comemorou Brandão.Para o presidente do Porto do Itaqui, Gilberto Lins, o Jovem Tech é um programa que fortalece a integração entre o governo, a sociedade maranhense e iniciativa privada. “Nós estamos incentivando o programa Jovem Tech para a formação em áreas em que a demanda é muito grande e a oferta de profissionais é pouca. O Grupo Mateus, com toda a sua expertise nessa área de tecnologia, nos propôs essa parceria, e nós, dentro do programa Porto do Futuro, ampliamos as oportunidades para fazer a integração, cada vez mais, entre a sociedade, o governo e a iniciativa privada”, afirmou.Na ocasião, o fundador do Grupo Mateus, Ilson Mateus, comunicou que a empresa possui cerca de 400 projetos de tecnologia que estão engavetados devido à escassez de profissionais qualificados. “Há uma demanda represada muito grande, no que diz respeito a programadores, desenvolvedores e engenheiros de dados. Nesta área, de tecnologia, há uma demanda gigantesca que não está sendo atendida, e a gente vem trocando ideias junto ao Governo do Estado para a formação de jovens, nesta área que o mercado tem pagado um dos maiores salários”, disse Mateus.O presidente da Fundação de Amparo à Pesquisa e Desenvolvimento Tecnológico do Maranhão (Fapema), Nordman Wall, enxerga o Jovem Tech como o pontapé inicial para a resolução de uma demanda que já é notável no Maranhão. “É um programa de grande importância na formação de profissionais, e nós da Fapema entraremos com as bolsas junto à empresa. É uma forma de o governo agir dentro de uma demanda necessária, a formação em tecnologia é extremamente importante, por isso, a Fapema não poderia ficar de fora dessa visão empreendedora”, pontuou Wall.Com informações do Governo do Maranhão"
Ministério da Justiça lança curso para consolidar forças policiais na defesa da democracia,30 de outubro de 2023,https://psb40.org.br/ministerio-da-justica-lanca-curso-para-consolidar-forcas-policiais-na-defesa-da-democracia/,"O Ministério da Justiça e Segurança Pública, sob o comando do ministro Flávio Dino (PSB), lançou um curso focado em consolidar as forças policiais na defesa da democracia.Serão oferecidas 100 mil bolsas de formação no valor de R$ 900 cada. O projeto será focado nos eixos do Programa Nacional de Segurança Pública com Cidadania (Pronasci). Serão oferecidos cursos sobre desigualdade racial, violência contra mulheres e tecnologia aplicada à segurança.O curso será para policiais militares, civis e penais, bombeiros militares, integrantes de órgãos oficiais de perícia criminal e guardas municipais de Estados que aderirem à iniciativa.Segundo Dino, a bolsa será “um estímulo a mais, além de moral e ético”, para os agentes de segurança.Criado em 2007, no segundo governo Lula, o Pronasci é executado pela União em regime de cooperação com Estados e municípios, e tem como objetivo articular ações de segurança pública para a prevenção, controle e repressão da criminalidade.Nesta segunda edição, entretanto, o governo propõe focar em políticas de promoção dos direitos humanos. Um dos focos do programa apresentado pelo MJSP é o combate aos preconceitos de gênero, etnia, orientação sexual e diversidade cultural. Outras prioridades da gestão para o programa são o desarmamento e o combate à violência contra mulheres.Assessoria de Comunicação/PSB Nacional com informações da Gazeta do Povo"
